"filename", "language", "PostCSS", "JavaScript", "XML", "PHP", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\README.md", "Markdown", 0, 0, 0, 0, 0, 40, 0, 22, 62
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Http\Controllers\AdministracionController.php", "PHP", 0, 0, 0, 122, 0, 0, 6, 22, 150
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Http\Controllers\AdministradorController.php", "PHP", 0, 0, 0, 69, 0, 0, 0, 17, 86
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Http\Controllers\AdministradorPerfilController.php", "PHP", 0, 0, 0, 32, 0, 0, 0, 9, 41
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Http\Controllers\AnalisisReservaController.php", "PHP", 0, 0, 0, 76, 0, 0, 4, 20, 100
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 0, 0, 0, 28, 0, 0, 9, 11, 48
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 0, 0, 0, 28, 0, 0, 6, 7, 41
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 0, 0, 0, 16, 0, 0, 3, 6, 25
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 0, 0, 0, 15, 0, 0, 3, 4, 22
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 0, 0, 0, 41, 0, 0, 14, 8, 63
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Http\Controllers\Auth\PasswordController.php", "PHP", 0, 0, 0, 21, 0, 0, 3, 6, 30
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 0, 0, 0, 27, 0, 0, 11, 7, 45
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 0, 0, 0, 38, 0, 0, 9, 10, 57
